time_stamp,humidity,temperature,pressure,voc,analog_input,pm2.5_alt|pm2.5_alt = C * (0.00030418*N1   0.0018512*N2   0.02069706*N3),deciviews,visual_range,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count,pm1.0_cf_1,pm1.0_atm,pm2.5_atm,pm2.5_cf_1,pm10.0_atm,pm10.0_cf_1
2025-01-15T07:00:00+06:00,16,72,935.98,,0.04,10.6,16.9,71.6,2470.2,653.2,112.26,17.3,4.834,2.622,12,12,18.4,18.4,22.2,22.2
2025-01-15T08:00:00+06:00,18,56,936.21,,0.04,15.7,20.3,51.4,3657.7,1000.3,164.92,26.63,6.509,3.412,20.3,19.2,29.3,30.9,36,36.5
2025-01-15T09:00:00+06:00,22,46,936.45,,0.05,16.4,20,52.8,3550.6,988.8,188.31,33.56,7.445,3.638,20.6,20.3,32.9,33.9,40.7,40.7
2025-01-15T10:00:00+06:00,20,50,936.39,,0.05,22.9,22.4,41.6,4652.3,1307.6,275.75,48.06,10.694,5.239,26.8,23.9,39.5,46.1,51.4,55.6
2025-01-15T11:00:00+06:00,17,53,936.27,,0.05,14.2,19.3,56.4,3283.3,807.3,162.32,27.93,5.728,2.579,15.7,15.5,26.4,27,31.8,31.9
2025-01-15T12:00:00+06:00,17,54,935.77,,0.04,13.5,17.4,68.2,2621.8,740.4,166.52,27.93,5.66,2.49,14.3,14.2,25.3,25.7,30.5,30.6
2025-01-15T13:00:00+06:00,17,54,935.12,,0.04,13,17.2,69.8,2546.4,721,159.28,27.26,5.669,2.432,13.8,13.7,24.6,24.7,29.5,29.5
2025-01-15T14:00:00+06:00,15,56,934.56,,0.04,10.4,15.5,82.4,2074.2,586.8,125.41,20.79,4.618,2.109,10.9,10.9,19.2,19.2,23.1,23.1
2025-01-15T15:00:00+06:00,15,57,934.53,,0.04,12.2,17.1,70.7,2508.3,698.1,147.75,26.76,6.361,3.08,13.2,13.1,23,23.1,28.5,28.5
2025-01-15T16:00:00+06:00,16,57,934.72,,0.04,17.9,20,52.8,3551.3,993.3,217.4,36.6,7.744,3.669,19.3,18.8,32.1,33.8,40.1,40.4
2025-01-15T17:00:00+06:00,17,55,934.88,,0.04,28.7,24.3,34.2,5772.4,1601.9,346.09,57.02,12.921,5.979,32.1,26.4,43.4,55.1,56.7,66.1
2025-01-15T18:00:00+06:00,24,52,935.49,,0.04,72.6,32.2,15.5,13387.6,3833.4,900.87,134.95,32.008,14.377,80.3,53.5,92.5,139.3,113.8,167.4
2025-01-15T19:00:00+06:00,30,50,935.97,,0.05,71.1,32,15.8,13118.5,3759.9,882.55,131.81,30.834,13.744,79.8,52.4,91.5,138.5,109.8,165.8
2025-01-15T20:00:00+06:00,28,49,936.03,,0.05,65.8,31.3,17,12171.1,3486,817.12,124.07,28.908,13.174,73.9,48.5,84.8,128.5,102.1,154.4
2025-01-15T21:00:00+06:00,28,48,935.86,,0.05,70.4,32.1,15.7,13254.8,3785.4,865.52,132.4,32.506,15.146,80.9,53.1,91.6,138.6,111.2,168
2025-01-15T22:00:00+06:00,30,46,935.75,,0.05,72.2,32.2,15.6,13318.5,3817.7,901.28,138.92,33.543,15.618,82.5,54.1,95.3,144.3,115.7,174.9
2025-01-15T23:00:00+06:00,31,45,935.7,,0.05,56.1,29.9,19.5,10533.3,3009.3,698.61,112.09,27.062,12.556,65.5,43,75.1,114.1,92.9,139.2
2025-01-16T00:00:00+06:00,32,44,935.49,,0.05,49.3,28.8,21.9,9315.5,2655.9,614.2,100.97,23.989,10.904,57.7,39.5,67.4,101.4,86.4,123.9
2025-01-16T01:00:00+06:00,32,43,935.39,,0.05,41.9,27.2,25.6,7916.7,2253.8,528.49,90.71,21.814,10.068,49.1,35.7,59.9,87.7,80.3,108
2025-01-16T02:00:00+06:00,34,43,935.32,,0.05,43.3,27.7,24.5,8278.2,2354.6,538.65,91.26,21.902,10.284,51.8,36.7,61.4,90.9,82.1,111.6
2025-01-16T03:00:00+06:00,35,42,935.13,,0.05,41,27,26.1,7745,2205.4,515.79,88.53,21.288,9.698,48.6,35.3,59.4,86.3,80.2,106.5
2025-01-16T04:00:00+06:00,36,42,935.09,,0.05,38.3,26.4,27.7,7255.6,2065,482.74,83.65,19.639,8.936,45.5,34.2,57.2,81.3,77.6,100
2025-01-16T05:00:00+06:00,36,42,934.98,,0.05,36.2,26,28.9,6953.4,1975.2,450.03,76.58,17.768,8.115,43.6,33.4,55.4,76.8,74.7,93.8
2025-01-16T06:00:00+06:00,35,42,935.32,,0.05,27.8,23.7,36.4,5399.7,1529.7,346.86,61.42,13.424,6.284,33.2,28.6,48.1,59.4,63.7,72.3
2025-01-16T07:00:00+06:00,35,42,935.68,,0.05,27.2,23.9,35.9,5485.8,1542.6,328.77,57.04,12.976,6.28,33.7,28.8,47.4,58,62.5,70.2
2025-01-16T08:00:00+06:00,34,43,935.9,,0.05,33.4,25.7,29.7,6730.8,1895,403.37,69.47,16.681,7.992,41.5,32.4,52.8,70.7,70.9,86.4
2025-01-16T09:00:00+06:00,30,45,935.8,,0.05,22,21.9,43.6,4414.5,1243.6,267.65,46.9,10.662,5.036,26,24,40.1,45.3,52.3,55
2025-01-16T10:00:00+06:00,29,47,935.66,,0.05,34.7,25.9,29.2,6855.4,1937.7,420.19,69.36,15.45,7.172,40.8,31.5,51.4,69.9,68.4,83.8
