datetime_utc,datetime_local,air_temp_c,dewpoint_c,slp_hpa,wind_dir_deg,wind_speed_ms,sky_cover_code,precip_1h_mm,precip_6h_mm,year,month,day,hour
2021-01-01 00:00:00+00:00,2021-01-01 06:00:00+06:00,-8.2,-8.4,1036.5,0,,9,,,2021,1,1,0
2021-01-01 03:00:00+00:00,2021-01-01 09:00:00+06:00,-8.9,-9.2,,350,1.0,8,,,2021,1,1,3
2021-01-01 06:00:00+00:00,2021-01-01 12:00:00+06:00,-8.7,-9.0,1040.1,320,1.0,9,,,2021,1,1,6
2021-01-01 09:00:00+00:00,2021-01-01 15:00:00+06:00,-7.6,-8.5,1039.7,320,1.0,9,,,2021,1,1,9
2021-01-01 12:00:00+00:00,2021-01-01 18:00:00+06:00,-8.2,-8.8,1041.6,140,1.0,9,,,2021,1,1,12
2021-01-01 15:00:00+00:00,2021-01-01 21:00:00+06:00,-8.1,-8.7,1041.8,50,1.0,9,,,2021,1,1,15
2021-01-01 18:00:00+00:00,2021-01-02 00:00:00+06:00,-9.8,-9.8,1042.2,90,1.0,9,,,2021,1,1,18
2021-01-01 21:00:00+00:00,2021-01-02 03:00:00+06:00,-12.4,-12.4,1041.1,0,,9,,,2021,1,1,21
2021-01-02 00:00:00+00:00,2021-01-02 06:00:00+06:00,-11.6,-11.8,1042.0,0,,9,,,2021,1,2,0
2021-01-02 03:00:00+00:00,2021-01-02 09:00:00+06:00,-13.7,-13.7,1043.0,90,1.0,9,,,2021,1,2,3
2021-01-02 06:00:00+00:00,2021-01-02 12:00:00+06:00,-9.2,-9.9,1040.8,0,,-9999,,,2021,1,2,6
2021-01-02 09:00:00+00:00,2021-01-02 15:00:00+06:00,-3.8,-7.1,1036.8,0,,-9999,,,2021,1,2,9
2021-01-02 12:00:00+00:00,2021-01-02 18:00:00+06:00,-7.9,-10.1,1039.1,0,,-9999,,,2021,1,2,12
2021-01-02 15:00:00+00:00,2021-01-02 21:00:00+06:00,-13.1,-14.4,1041.4,0,,-9999,,,2021,1,2,15
2021-01-02 18:00:00+00:00,2021-01-03 00:00:00+06:00,-14.3,-14.9,1041.1,0,,-9999,,,2021,1,2,18
2021-01-02 21:00:00+00:00,2021-01-03 03:00:00+06:00,-13.6,-14.2,1040.8,270,1.0,9,,,2021,1,2,21
2021-01-03 00:00:00+00:00,2021-01-03 06:00:00+06:00,-13.7,-14.3,1041.4,0,,9,,,2021,1,3,0
2021-01-03 03:00:00+00:00,2021-01-03 09:00:00+06:00,-15.3,-15.9,1042.3,0,,-9999,,,2021,1,3,3
2021-01-03 06:00:00+00:00,2021-01-03 12:00:00+06:00,-9.0,-10.1,1040.1,0,,-9999,,,2021,1,3,6
2021-01-03 09:00:00+00:00,2021-01-03 15:00:00+06:00,-6.6,-9.0,1038.8,270,1.0,-9999,,,2021,1,3,9
2021-01-03 12:00:00+00:00,2021-01-03 18:00:00+06:00,-10.5,-12.7,1040.9,270,1.0,-9999,,,2021,1,3,12
2021-01-03 15:00:00+00:00,2021-01-03 21:00:00+06:00,-13.7,-15.0,1042.6,0,,-9999,,,2021,1,3,15
2021-01-03 18:00:00+00:00,2021-01-04 00:00:00+06:00,-14.3,-15.6,1041.6,0,,-9999,,,2021,1,3,18
2021-01-03 21:00:00+00:00,2021-01-04 03:00:00+06:00,-14.7,-15.3,1040.8,0,,-9999,,,2021,1,3,21
2021-01-04 00:00:00+00:00,2021-01-04 06:00:00+06:00,-15.1,-16.4,1040.7,0,,-9999,,,2021,1,4,0
2021-01-04 03:00:00+00:00,2021-01-04 09:00:00+06:00,-16.8,-18.1,1041.4,0,,-9999,,,2021,1,4,3
2021-01-04 06:00:00+00:00,2021-01-04 12:00:00+06:00,-11.0,-12.3,1038.5,0,,-9999,,,2021,1,4,6
